"['self', 'employed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'feb', 'other']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'divorced', 'tertiary', 'yes', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'single', 'secondary', 'no', 'yes', 'yes', 'cellular', 'mar', 'unknown']"
"['admin', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['self', 'employed', 'married', 'tertiary', 'yes', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['admin', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['housemaid', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'success']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'apr', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['unemployed', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'jul', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'yes', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['unknown', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'dec', 'success']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'failure']"
"['services', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['housemaid', 'married', 'unknown', 'no', 'no', 'no', 'telephone', 'jul', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'success']"
"['student', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'success']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'jan', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['self', 'employed', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'success']"
"['retired', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'failure']"
"['entrepreneur', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'yes', 'cellular', 'jul', 'unknown']"
"['admin', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'aug', 'success']"
"['retired', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['self', 'employed', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'yes', 'cellular', 'nov', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jan', 'success']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'yes', 'unknown', 'jun', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'telephone', 'jul', 'unknown']"
"['unemployed', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'other']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['retired', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'success']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['student', 'single', 'tertiary', 'no', 'no', 'no', 'telephone', 'mar', 'other']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['self', 'employed', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'other']"
"['unknown', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['self', 'employed', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'success']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'failure']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'success']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'failure']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'nov', 'failure']"
"['admin', 'married', 'secondary', 'yes', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['unknown', 'single', 'unknown', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'oct', 'success']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'telephone', 'apr', 'success']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'yes', 'cellular', 'feb', 'failure']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'married', 'unknown', 'no', 'no', 'no', 'telephone', 'feb', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['services', 'divorced', 'unknown', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'telephone', 'jun', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['self', 'employed', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['services', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'aug', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'success']"
"['management', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'yes', 'cellular', 'mar', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['housemaid', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jan', 'failure']"
"['blue', 'collar', 'married', 'unknown', 'yes', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['self', 'employed', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['unemployed', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'failure']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'unknown', 'jul', 'unknown']"
"['self', 'employed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['admin', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['retired', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'success']"
"['management', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['technician', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'other']"
"['retired', 'divorced', 'tertiary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'sep', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['retired', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'apr', 'failure']"
"['entrepreneur', 'married', 'secondary', 'no', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['self', 'employed', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['entrepreneur', 'married', 'unknown', 'no', 'yes', 'yes', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['student', 'single', 'unknown', 'no', 'no', 'no', 'cellular', 'mar', 'failure']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jan', 'success']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'dec', 'success']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'jan', 'other']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'feb', 'failure']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['housemaid', 'single', 'primary', 'no', 'no', 'no', 'telephone', 'jun', 'unknown']"
"['entrepreneur', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['technician', 'married', 'unknown', 'no', 'yes', 'no', 'cellular', 'aug', 'success']"
"['self', 'employed', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'mar', 'success']"
"['retired', 'divorced', 'primary', 'no', 'no', 'no', 'telephone', 'mar', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'telephone', 'may', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'oct', 'success']"
"['unemployed', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'success']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'failure']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['entrepreneur', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['entrepreneur', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'yes', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'no', 'telephone', 'oct', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'success']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['retired', 'divorced', 'unknown', 'no', 'no', 'no', 'telephone', 'apr', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'no', 'cellular', 'sep', 'failure']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jun', 'success']"
"['admin', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['housemaid', 'divorced', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'success']"
"['unknown', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'success']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jun', 'success']"
"['management', 'divorced', 'unknown', 'no', 'no', 'no', 'cellular', 'sep', 'other']"
"['services', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['self', 'employed', 'married', 'secondary', 'no', 'no', 'yes', 'unknown', 'jul', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'telephone', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'unknown', 'feb', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['entrepreneur', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['housemaid', 'married', 'unknown', 'no', 'yes', 'no', 'cellular', 'apr', 'other']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'success']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'aug', 'failure']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'telephone', 'apr', 'success']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'dec', 'failure']"
"['unemployed', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'failure']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'divorced', 'secondary', 'yes', 'no', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['services', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'success']"
"['blue', 'collar', 'divorced', 'unknown', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['unemployed', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'failure']"
"['housemaid', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'primary', 'no', 'yes', 'yes', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'nov', 'failure']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'success']"
"['technician', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'nov', 'failure']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['management', 'divorced', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'yes', 'telephone', 'may', 'unknown']"
"['entrepreneur', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['retired', 'married', 'unknown', 'no', 'no', 'no', 'telephone', 'jan', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'unknown', 'jul', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'success']"
"['housemaid', 'married', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['student', 'single', 'primary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'yes', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'failure']"
"['student', 'single', 'unknown', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'success']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'apr', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['student', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['self', 'employed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
